"","firstname","sex","race","call_back"
"1","Allison","female","white","No"
"2","Kristen","female","white","No"
"3","Lakisha","female","black","No"
"4","Latonya","female","black","No"
"5","Carrie","female","white","No"
"6","Jay","male","white","No"
"7","Jill","female","white","No"
"8","Kenya","female","black","No"
"9","Latonya","female","black","No"
"10","Tyrone","male","black","No"
"11","Aisha","female","black","No"
"12","Allison","female","white","No"
"13","Aisha","female","black","No"
"14","Carrie","female","white","No"
"15","Aisha","female","black","No"
"16","Geoffrey","male","white","No"
"17","Matthew","male","white","No"
"18","Tamika","female","black","No"
"19","Jill","female","white","No"
"20","Latonya","female","black","No"
"21","Leroy","male","black","No"
"22","Todd","male","white","No"
"23","Allison","female","white","No"
"24","Carrie","female","white","No"
"25","Greg","male","white","No"
"26","Keisha","female","black","No"
"27","Keisha","female","black","No"
"28","Kristen","female","white","No"
"29","Lakisha","female","black","No"
"30","Tamika","female","black","No"
"31","Allison","female","white","No"
"32","Keisha","female","black","No"
"33","Kristen","female","white","No"
"34","Latonya","female","black","No"
"35","Brad","male","white","No"
"36","Jill","female","white","No"
"37","Keisha","female","black","No"
"38","Keisha","female","black","No"
"39","Lakisha","female","black","No"
"40","Laurie","female","white","No"
"41","Meredith","female","white","No"
"42","Tyrone","male","black","No"
"43","Anne","female","white","No"
"44","Emily","female","white","No"
"45","Latoya","female","black","No"
"46","Tamika","female","black","No"
"47","Brad","male","white","No"
"48","Latoya","female","black","No"
"49","Kristen","female","white","No"
"50","Latonya","female","black","No"
"51","Latoya","female","black","No"
"52","Laurie","female","white","No"
"53","Allison","female","white","No"
"54","Ebony","female","black","No"
"55","Jay","male","white","No"
"56","Keisha","female","black","No"
"57","Laurie","female","white","No"
"58","Tyrone","male","black","No"
"59","Anne","female","white","No"
"60","Lakisha","female","black","No"
"61","Latonya","female","black","No"
"62","Meredith","female","white","No"
"63","Allison","female","white","No"
"64","Carrie","female","white","No"
"65","Ebony","female","black","No"
"66","Kenya","female","black","No"
"67","Lakisha","female","black","No"
"68","Laurie","female","white","No"
"69","Aisha","female","black","No"
"70","Anne","female","white","No"
"71","Brendan","male","white","No"
"72","Hakim","male","black","No"
"73","Latoya","female","black","No"
"74","Laurie","female","white","No"
"75","Laurie","female","white","No"
"76","Leroy","male","black","No"
"77","Anne","female","white","No"
"78","Kenya","female","black","No"
"79","Latonya","female","black","No"
"80","Meredith","female","white","No"
"81","Jamal","male","black","No"
"82","Matthew","male","white","No"
"83","Neil","male","white","No"
"84","Tyrone","male","black","No"
"85","Leroy","male","black","No"
"86","Todd","male","white","Yes"
"87","Brad","male","white","No"
"88","Ebony","female","black","No"
"89","Jill","female","white","No"
"90","Kristen","female","white","No"
"91","Lakisha","female","black","No"
"92","Matthew","male","white","No"
"93","Tamika","female","black","No"
"94","Tremayne","male","black","No"
"95","Aisha","female","black","No"
"96","Brett","male","white","Yes"
"97","Darnell","male","black","No"
"98","Emily","female","white","No"
"99","Latonya","female","black","No"
"100","Sarah","female","white","No"
"101","Aisha","female","black","No"
"102","Anne","female","white","No"
"103","Jermaine","male","black","No"
"104","Neil","male","white","No"
"105","Allison","female","white","No"
"106","Anne","female","white","Yes"
"107","Keisha","female","black","No"
"108","Latonya","female","black","Yes"
"109","Latonya","female","black","No"
"110","Laurie","female","white","No"
"111","Jay","male","white","No"
"112","Lakisha","female","black","No"
"113","Anne","female","white","No"
"114","Keisha","female","black","No"
"115","Kristen","female","white","No"
"116","Lakisha","female","black","No"
"117","Allison","female","white","No"
"118","Ebony","female","black","No"
"119","Keisha","female","black","No"
"120","Kristen","female","white","No"
"121","Lakisha","female","black","No"
"122","Meredith","female","white","No"
"123","Allison","female","white","No"
"124","Kristen","female","white","No"
"125","Lakisha","female","black","No"
"126","Lakisha","female","black","No"
"127","Tanisha","female","black","Yes"
"128","Todd","male","white","Yes"
"129","Aisha","female","black","No"
"130","Anne","female","white","No"
"131","Jill","female","white","No"
"132","Latoya","female","black","No"
"133","Neil","male","white","No"
"134","Tamika","female","black","No"
"135","Anne","female","white","No"
"136","Geoffrey","male","white","No"
"137","Latoya","female","black","No"
"138","Rasheed","male","black","No"
"139","Aisha","female","black","No"
