race,classtype,yearssmall,hsgrad,g4math,g4reading
Black,small,4,NA,672,659
White,regular,0,NA,NA,NA
White,small,4,NA,668,657
White,small,4,1,709,725
White,regular,0,1,698,692
Black,regular,0,1,NA,NA
White,small,1,NA,NA,NA
White,regular,2,NA,NA,NA
White,regular,1,NA,NA,NA
Black,small,4,NA,NA,NA
White,small,1,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,2,NA,NA,NA
White,small,4,1,740,836
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,758,836
Black,regular,0,1,NA,NA
White,small,4,NA,685,785
White,small,4,1,771,725
Black,small,1,1,NA,NA
Black,small,1,NA,NA,NA
Black,small,2,0,NA,NA
Black,small,3,1,NA,NA
White,small,4,1,709,761
Black,small,3,NA,NA,NA
Black,small,2,0,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,small,3,NA,NA,NA
White,small,1,1,NA,NA
White,small,4,NA,679,678
White,regular,0,NA,NA,NA
Black,small,1,1,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,1,1,NA,NA
White,regular,0,1,698,778
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
Black,regular,0,0,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,0,744,735
White,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
Black,small,1,NA,NA,NA
White,small,2,1,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,690,570
White,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,1,727,750
Black,small,3,NA,NA,NA
White,regular,0,0,487,616
White,regular,1,0,674,675
Black,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,0,666,644
White,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
White,regular,0,1,664,528
Black,small,3,NA,NA,NA
Black,regular,0,NA,NA,NA
White,regular,3,NA,736,782
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,regular,0,1,702,771
White,small,4,1,744,772
White,regular,0,1,NA,NA
White,small,1,NA,NA,NA
Black,regular,0,1,654,647
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,NA,NA
White,small,3,0,NA,NA
White,small,1,NA,NA,NA
White,small,4,1,680,528
White,small,4,0,666,675
White,regular,0,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,1,NA,NA
White,small,4,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,2,NA,NA,NA
White,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
White,small,2,1,NA,NA
Black,small,1,1,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,618,659
White,small,1,NA,NA,NA
White,small,4,1,678,650
Black,regular,0,NA,NA,NA
White,regular,0,1,NA,NA
White,small,1,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,1,1,NA,NA
Black,small,3,1,706,684
Black,regular,0,NA,NA,NA
Black,small,2,NA,NA,NA
White,regular,0,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,NA,NA
Black,small,2,1,NA,NA
Black,small,2,NA,705,689
Black,regular,0,0,NA,NA
Black,small,4,0,680,723
Black,small,1,1,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,1,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
Black,small,2,0,NA,NA
Black,regular,0,1,758,729
Black,regular,0,NA,NA,NA
Black,small,3,1,NA,NA
Black,small,1,NA,NA,NA
Black,regular,1,NA,NA,NA
Black,small,3,NA,689,768
Black,regular,0,NA,NA,NA
Black,small,4,NA,NA,NA
Black,regular,1,0,NA,NA
Black,small,2,1,719,721
Black,regular,0,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,694,671
Black,regular,0,1,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
White,regular,0,0,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,727,715
Black,regular,0,NA,NA,NA
White,small,2,NA,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
White,small,4,NA,NA,NA
Black,small,4,0,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,0,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,1,NA,NA
White,small,1,1,NA,NA
Black,regular,0,1,NA,NA
Black,small,1,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,NA,NA,NA
Black,regular,0,0,NA,NA
Black,small,4,1,NA,NA
Black,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,2,1,744,724
White,small,1,1,NA,NA
Black,small,4,NA,NA,NA
Black,small,4,NA,NA,NA
Black,small,3,NA,NA,NA
White,regular,0,1,676,721
White,regular,0,1,NA,NA
Black,regular,0,NA,NA,NA
Black,small,1,1,NA,NA
White,regular,2,1,662,528
Black,regular,0,1,740,701
Black,small,1,1,NA,NA
Black,small,4,NA,670,724
Black,regular,0,1,NA,NA
Black,regular,0,1,NA,NA
White,small,4,NA,636,710
Black,small,2,NA,NA,NA
White,small,2,NA,NA,NA
Black,small,1,1,NA,NA
White,small,4,1,653,548
White,small,2,NA,NA,NA
White,regular,0,NA,666,591
White,regular,0,NA,646,695
Black,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,0,NA,712,682
White,regular,2,NA,NA,NA
White,regular,0,1,533,650
Black,small,4,1,654,605
White,small,2,1,NA,NA
White,small,1,NA,NA,NA
White,regular,0,1,702,741
White,small,2,NA,NA,NA
White,small,1,NA,NA,NA
White,regular,0,NA,NA,NA
White,regular,0,NA,NA,NA
Black,regular,0,1,713,712
White,regular,0,NA,NA,NA
White,small,4,1,647,701
White,small,4,1,740,763
Black,regular,0,NA,NA,NA
White,regular,0,0,NA,NA
White,regular,0,NA,684,664
White,small,2,NA,NA,NA
White,regular,0,0,NA,NA
White,small,1,1,758,794
White,regular,0,NA,NA,NA
White,small,4,1,724,713
White,small,4,1,531,528
White,small,1,NA,NA,NA
White,regular,0,1,NA,NA
White,small,4,1,705,726
White,small,4,NA,NA,NA
White,small,4,1,643,528
White,small,2,NA,NA,NA
White,regular,0,1,NA,NA
White,regular,0,NA,NA,NA
White,small,1,NA,NA,NA
White,small,4,NA,NA,NA
